周波数 (Hz)	レベル (dB)
86.132813	-66.718018
172.265625	-63.802322
258.398438	-62.900654
344.531250	-63.509964
430.664063	-64.063080
516.796875	-65.251892
602.929688	-64.989983
689.062500	-65.577316
775.195313	-65.685478
861.328125	-64.628014
947.460938	-62.965183
1033.593750	-63.774548
1119.726563	-63.148205
1205.859375	-62.825634
1291.992188	-61.703217
1378.125000	-61.646919
1464.257813	-63.521072
1550.390625	-63.740654
1636.523438	-61.720413
1722.656250	-59.258648
1808.789063	-58.198738
1894.921875	-58.050140
1981.054688	-57.395061
2067.187500	-57.663929
2153.320313	-56.433880
2239.453125	-54.042484
2325.585938	-55.477669
2411.718750	-56.617035
2497.851563	-55.056011
2583.984375	-55.633957
2670.117188	-56.591972
2756.250000	-57.260841
2842.382813	-57.507324
2928.515625	-57.679852
3014.648438	-57.301891
3100.781250	-55.198898
3186.914063	-53.534374
3273.046875	-51.126995
3359.179688	-50.527054
3445.312500	-49.550831
3531.445313	-49.676655
3617.578125	-49.849766
3703.710938	-51.620991
3789.843750	-53.000904
3875.976563	-51.842407
3962.109375	-53.438915
4048.242188	-53.709599
4134.375000	-54.019810
4220.507813	-55.363747
4306.640625	-59.994244
4392.773438	-63.535885
4478.906250	-61.024784
4565.039063	-55.754078
4651.171875	-56.651466
4737.304688	-60.765209
4823.437500	-63.034214
4909.570313	-63.920261
4995.703125	-63.405407
5081.835938	-62.019890
5167.968750	-59.663738
5254.101563	-59.649879
5340.234375	-61.906796
5426.367188	-63.580334
5512.500000	-62.715214
5598.632813	-62.458454
5684.765625	-64.372597
5770.898438	-64.713783
5857.031250	-64.062836
5943.164063	-64.798271
6029.296875	-64.995903
6115.429688	-66.187889
6201.562500	-66.318687
6287.695313	-66.911331
6373.828125	-69.439087
6459.960938	-68.266953
6546.093750	-67.196930
6632.226563	-70.371674
6718.359375	-74.787918
6804.492188	-77.581238
6890.625000	-76.981865
6976.757813	-77.045334
7062.890625	-74.873077
7149.023438	-74.256935
7235.156250	-74.266998
7321.289063	-75.614304
7407.421875	-75.570541
7493.554688	-73.836380
7579.687500	-69.918610
7665.820313	-69.608704
7751.953125	-69.596329
7838.085938	-70.058464
7924.218750	-73.952934
8010.351563	-78.364746
8096.484375	-79.380249
8182.617188	-78.136696
8268.750000	-75.694115
8354.882813	-75.070198
8441.015625	-75.447777
8527.148438	-74.223167
8613.281250	-73.211983
8699.414063	-72.930672
8785.546875	-73.081779
8871.679688	-73.358292
8957.812500	-73.216469
9043.945313	-72.705818
9130.078125	-73.108658
9216.210938	-73.001564
9302.343750	-74.389511
9388.476563	-74.510109
9474.609375	-73.866478
9560.742188	-73.648239
9646.875000	-74.798401
9733.007813	-76.657715
9819.140625	-77.264069
9905.273438	-80.050644
9991.406250	-79.084938
10077.539063	-75.336014
10163.671875	-74.344093
10249.804688	-76.251122
10335.937500	-78.277969
10422.070313	-78.359665
10508.203125	-76.640091
10594.335938	-74.556885
10680.468750	-74.315063
10766.601563	-72.697136
10852.734375	-71.914276
10938.867188	-71.378166
11025.000000	-71.797722
11111.132813	-71.088425
11197.265625	-71.445976
11283.398438	-71.769699
11369.531250	-70.618828
11455.664063	-69.118813
11541.796875	-68.885788
11627.929688	-70.032188
11714.062500	-71.548035
11800.195313	-72.849243
11886.328125	-73.235291
11972.460938	-71.675621
12058.593750	-70.135841
12144.726563	-69.825775
12230.859375	-70.205803
12316.992188	-69.954079
12403.125000	-70.448303
12489.257813	-72.034576
12575.390625	-71.302498
12661.523438	-70.891968
12747.656250	-72.108139
12833.789063	-71.816833
12919.921875	-73.332611
13006.054688	-75.703606
13092.187500	-75.648781
13178.320313	-77.700500
13264.453125	-80.035934
13350.585938	-82.550896
13436.718750	-82.785179
13522.851563	-81.674225
13608.984375	-78.810463
13695.117188	-78.837372
13781.250000	-81.216118
13867.382813	-81.287491
13953.515625	-79.535027
14039.648438	-80.003677
14125.781250	-82.166176
14211.914063	-84.487839
14298.046875	-85.220375
14384.179688	-85.910805
14470.312500	-88.380241
14556.445313	-87.667168
14642.578125	-86.989899
14728.710938	-88.301773
14814.843750	-88.761620
14900.976563	-87.274284
14987.109375	-90.089310
15073.242188	-93.563095
15159.375000	-92.046097
15245.507813	-91.796982
15331.640625	-91.327835
15417.773438	-92.684814
15503.906250	-90.641853
15590.039063	-88.219933
15676.171875	-86.567307
15762.304688	-86.066994
15848.437500	-86.043434
15934.570313	-88.110245
16020.703125	-93.085686
16106.835938	-94.615692
16192.968750	-93.035095
16279.101563	-91.057945
16365.234375	-90.732224
16451.367188	-92.265907
16537.500000	-92.057434
16623.632813	-91.198196
16709.765625	-91.852852
16795.898438	-95.825043
16882.031250	-95.064278
16968.164063	-91.908173
17054.296875	-87.503052
17140.429688	-86.926476
17226.562500	-88.308769
17312.695313	-88.251144
17398.828125	-86.606407
17484.960938	-86.592239
17571.093750	-86.777153
17657.226563	-87.700050
17743.359375	-88.551819
17829.492188	-90.280128
17915.625000	-92.019333
18001.757813	-92.959480
18087.890625	-92.467247
18174.023438	-91.058777
18260.156250	-94.316200
18346.289063	-98.923470
18432.421875	-99.819633
18518.554688	-97.744545
18604.687500	-95.463409
18690.820313	-94.106842
18776.953125	-94.482727
18863.085938	-95.979149
18949.218750	-96.566994
19035.351563	-97.041061
19121.484375	-97.085785
19207.617188	-98.756218
19293.750000	-98.986580
19379.882813	-98.713966
19466.015625	-99.970642
19552.148438	-101.670685
19638.281250	-102.776833
19724.414063	-103.811584
19810.546875	-106.202911
19896.679688	-109.031029
19982.812500	-110.322136
20068.945313	-110.507133
20155.078125	-111.622803
20241.210938	-110.529755
20327.343750	-111.441483
20413.476563	-114.726791
20499.609375	-116.543213
20585.742188	-116.515694
20671.875000	-116.983437
20758.007813	-120.025673
20844.140625	-122.081444
20930.273438	-121.977921
21016.406250	-123.335114
21102.539063	-123.450333
21188.671875	-123.312775
21274.804688	-123.543411
21360.937500	-123.473518
21447.070313	-123.874481
21533.203125	-123.799652
21619.335938	-123.823143
21705.468750	-123.669144
21791.601563	-124.043701
21877.734375	-124.077690
21963.867188	-124.029274
