周波数 (Hz)	レベル (dB)
86.132813	-56.743214
172.265625	-53.690022
258.398438	-52.513313
344.531250	-53.301914
430.664063	-55.763756
516.796875	-58.112545
602.929688	-55.728325
689.062500	-57.244999
775.195313	-60.187469
861.328125	-59.155598
947.460938	-56.326591
1033.593750	-58.706947
1119.726563	-56.701790
1205.859375	-58.228447
1291.992188	-57.168533
1378.125000	-55.675377
1464.257813	-59.878258
1550.390625	-60.460148
1636.523438	-57.672482
1722.656250	-54.206543
1808.789063	-53.916859
1894.921875	-54.925446
1981.054688	-54.603207
2067.187500	-56.358665
2153.320313	-54.597530
2239.453125	-50.914021
2325.585938	-52.635998
2411.718750	-55.487961
2497.851563	-55.260567
2583.984375	-53.416325
2670.117188	-55.732899
2756.250000	-55.649940
2842.382813	-55.713654
2928.515625	-55.212238
3014.648438	-58.097607
3100.781250	-54.404282
3186.914063	-51.901836
3273.046875	-49.541824
3359.179688	-49.776382
3445.312500	-51.920887
3531.445313	-51.731239
3617.578125	-51.468616
3703.710938	-55.281483
3789.843750	-53.808567
3875.976563	-53.362045
3962.109375	-53.455200
4048.242188	-53.563725
4134.375000	-54.745758
4220.507813	-56.557064
4306.640625	-60.488514
4392.773438	-63.201450
4478.906250	-62.099155
4565.039063	-57.618103
4651.171875	-59.735798
4737.304688	-61.928299
4823.437500	-59.224091
4909.570313	-60.496181
4995.703125	-65.666405
5081.835938	-65.072708
5167.968750	-61.957367
5254.101563	-65.574554
5340.234375	-63.852051
5426.367188	-62.367340
5512.500000	-63.877308
5598.632813	-68.490410
5684.765625	-68.812042
5770.898438	-65.876930
5857.031250	-65.153496
5943.164063	-65.156395
6029.296875	-66.774284
6115.429688	-71.151917
6201.562500	-69.677895
6287.695313	-70.582962
6373.828125	-72.095688
6459.960938	-70.916946
6546.093750	-72.576256
6632.226563	-73.996292
6718.359375	-74.444977
6804.492188	-74.402451
6890.625000	-78.139931
6976.757813	-78.416069
7062.890625	-77.205963
7149.023438	-77.582207
7235.156250	-81.382629
7321.289063	-76.320824
7407.421875	-74.787209
7493.554688	-77.339012
7579.687500	-75.578018
7665.820313	-73.331398
7751.953125	-75.625679
7838.085938	-80.234390
7924.218750	-81.886581
8010.351563	-79.945198
8096.484375	-81.330177
8182.617188	-83.679413
8268.750000	-79.418915
8354.882813	-81.525566
8441.015625	-86.149376
8527.148438	-83.473770
8613.281250	-80.075050
8699.414063	-81.756767
8785.546875	-81.584045
8871.679688	-81.451599
8957.812500	-78.650383
9043.945313	-81.041924
9130.078125	-83.682693
9216.210938	-82.044403
9302.343750	-79.320633
9388.476563	-81.293335
9474.609375	-79.192558
9560.742188	-79.090065
9646.875000	-79.727249
9733.007813	-77.667351
9819.140625	-77.687675
9905.273438	-78.559410
9991.406250	-83.621849
10077.539063	-83.872742
10163.671875	-82.809662
10249.804688	-86.977463
10335.937500	-87.103012
10422.070313	-85.921341
10508.203125	-89.066414
10594.335938	-88.732628
10680.468750	-92.252396
10766.601563	-89.616409
10852.734375	-87.537758
10938.867188	-89.012627
11025.000000	-89.995140
11111.132813	-90.239151
11197.265625	-88.965393
11283.398438	-86.685799
11369.531250	-86.221703
11455.664063	-83.278320
11541.796875	-84.889198
11627.929688	-86.592728
11714.062500	-84.795830
11800.195313	-85.709465
11886.328125	-85.352768
11972.460938	-83.427521
12058.593750	-84.026649
12144.726563	-83.885956
12230.859375	-82.392006
12316.992188	-83.329529
12403.125000	-80.985489
12489.257813	-80.120789
12575.390625	-80.506584
12661.523438	-84.793861
12747.656250	-86.288574
12833.789063	-85.861824
12919.921875	-85.062355
13006.054688	-83.798210
13092.187500	-83.732811
13178.320313	-87.679420
13264.453125	-86.020813
13350.585938	-83.773811
13436.718750	-88.733765
13522.851563	-88.719193
13608.984375	-88.482079
13695.117188	-91.259354
13781.250000	-95.135612
13867.382813	-92.988876
13953.515625	-91.042580
14039.648438	-92.661919
14125.781250	-93.813927
14211.914063	-92.307045
14298.046875	-94.851776
14384.179688	-97.528221
14470.312500	-94.375504
